;Datum izida;Angleski naslov filma;Proraèun;Prihodek v ZDA;Prihodek po celem svetu
35;3.8.2013;Oz the Great and Powerful;$200,000,000;$234,770,996;$489,570,996
36;5/23/2014;X-Men: Days of Future Past;$200,000,000;$233,921,534;$744,321,534
37;5.2.2014;The Amazing Spider-Man 2;$200,000,000;$202,853,933;$708,996,336
38;6/24/2011;Cars 2;$200,000,000;$191,450,875;$560,155,383
39;12/17/2010;Tron: Legacy;$200,000,000;$172,062,763;$397,562,763
40;11/13/2009;2012;$200,000,000;$166,112,167;$788,408,539
41;5/21/2009;Terminator Salvation: The Future Begins;$200,000,000;$125,322,469;$371,628,539
42;6/17/2011;Green Lantern;$200,000,000;$116,601,172;$231,201,172
43;5/28/2010;Prince of Persia: Sands of Time;$200,000,000;$90,759,676;$335,059,676
44;6/29/2011;Transformers: Dark of the Moon;$195,000,000;$352,390,543;$1,123,794,076
45;3.1.2013;Jack the Giant Slayer;$195,000,000;$65,187,603;$197,387,603
46;5/15/2013;Star Trek Into Darkness;$190,000,000;$228,778,661;$466,978,661
47;6/21/2013;World War Z;$190,000,000;$202,359,711;$539,559,711
48;5.10.2013;The Great Gatsby;$190,000,000;$144,840,419;$351,040,419
49;11.6.2009;Disney's A Christmas Carol;$190,000,000;$137,855,863;$315,709,697
50;7.12.2013;Pacific Rim;$190,000,000;$101,802,906;$411,002,906
51;11.4.2006;A Christmas Carol;$190,000,000;$0;$177,853,834
52;5.2.2008;Iron Man;$186,000,000;$318,604,126;$582,443,126
53;7/18/2008;The Dark Knight;$185,000,000;$533,345,358;$1,002,891,358
54;5/22/2008;Indiana Jones and the Kingdom of the Crystal Skull;$185,000,000;$317,023,851;$786,558,145
55;6/22/2012;Brave;$185,000,000;$237,282,182;$554,606,532
56;12.9.2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;$180,000,000;$291,710,957;$748,806,957
57;5/30/2014;Maleficent;$180,000,000;$241,407,328;$751,407,328
58;6/27/2008;WALL-E;$180,000,000;$223,808,164;$532,590,994
59;8.10.2007;Rush Hour 3;$180,000,000;$140,125,968;$253,025,968
60;11/23/2011;Hugo;$180,000,000;$73,864,507;$185,033,215
61;6.6.2014;Edge of Tomorrow;$178,000,000;$100,206,256;$364,406,256
62;5/29/2009;Up;$175,000,000;$293,004,164;$731,542,621
63;3/27/2009;Monsters vs. Aliens;$175,000,000;$198,351,526;$381,687,380
64;8.7.2009;G.I. Joe: The Rise of Cobra;$175,000,000;$150,201,498;$302,469,017
65;6/30/1999;Wild Wild West;$175,000,000;$113,805,681;$221,229,335
66;8.1.2008;The Mummy: Tomb of the Dragon Emperor;$175,000,000;$102,491,776;$405,760,225
67;6/22/2007;Evan Almighty;$175,000,000;$100,289,690;$173,219,280
68;7/28/1995;Waterworld;$175,000,000;$88,246,220;$264,246,220
69;12/25/2013;47 Ronin;$175,000,000;$38,362,475;$151,547,799
70;12/31/2012;Singularity;$175,000,000;$0;$0
71;8.1.2014;Guardians of the Galaxy;$170,000,000;$331,855,381;$769,855,381
72;5.7.2010;Iron Man 2;$170,000,000;$312,433,331;$623,561,331
73;4.4.2014;Captain America: The Winter Soldier;$170,000,000;$259,746,958;$713,846,958
74;7.11.2014;Dawn of the Planet of the Apes;$170,000,000;$208,543,795;$703,543,795
75;11.8.2013;Thor: The Dark World;$170,000,000;$206,360,018;$633,360,018
76;11.10.2004;The Polar Express;$170,000,000;$194,949,659;$319,049,659
77;6.1.2012;Snow White and the Huntsman;$170,000,000;$155,136,755;$400,942,064
78;7.1.2003;Terminator 3: Rise of the Machines;$170,000,000;$150,358,296;$433,058,296
79;5.7.2004;Van Helsing;$170,000,000;$120,150,546;$300,150,546
80;5/21/2010;Shrek Forever After;$165,000,000;$238,736,787;$756,244,673
81;3/26/2010;How to Train Your Dragon;$165,000,000;$217,581,231;$494,870,991
82;11.2.2012;Wreck-It Ralph;$165,000,000;$189,412,677;$473,412,677
83;10/25/2014;Big Hero 6;$165,000,000;$167,219,558;$224,119,558
84;11.5.2014;Interstellar;$165,000,000;$147,035,482;$542,235,482
85;7/29/2011;Cowboys and Aliens;$163,000,000;$100,240,551;$175,910,315
86;5/17/2007;Shrek the Third;$160,000,000;$322,719,944;$807,330,936
87;7/16/2010;Inception;$160,000,000;$292,576,195;$832,584,416
88;5/24/2013;Fast and Furious 6;$160,000,000;$238,679,850;$789,952,811
89;5/16/2014;Godzilla;$160,000,000;$200,672,193;$508,172,193
90;6.3.2011;X-Men: First Class;$160,000,000;$146,408,305;$355,408,305
91;12/25/2008;The Curious Case of Benjamin Button;$160,000,000;$127,509,326;$329,809,326
92;7/14/2010;The Sorcerer's Apprentice;$160,000,000;$63,150,991;$215,150,991
93;5.12.2006;Poseidon;$160,000,000;$60,674,817;$181,674,817
94;12.10.2010;The Chronicles of Narnia: The Voyage of the Dawn Treader;$155,000,000;$104,386,950;$418,186,950
95;11/24/2004;Alexander;$155,000,000;$34,297,191;$167,297,191
96;5/25/2001;Pearl Harbor;$151,500,000;$198,539,855;$449,239,855
97;7.2.2007;Transformers;$151,000,000;$319,246,193;$708,272,592
98;11/22/2013;Frozen;$150,000,000;$400,737,000;$1,267,837,000
99;7.11.2007;Harry Potter and the Order of the Phoenix;$150,000,000;$292,004,738;$942,943,935
100;11/18/2005;Harry Potter and the Goblet of Fire;$150,000,000;$290,013,036;$896,911,078
101;12/14/2007;I am Legend;$150,000,000;$256,393,010;$585,410,052
102;7.1.2008;Hancock;$150,000,000;$227,946,274;$624,346,274
103;7/15/2005;Charlie and the Chocolate Factory;$150,000,000;$206,459,076;$475,825,484
104;6/29/2007;Ratatouille;$150,000,000;$206,445,654;$626,549,695
105;6/15/2005;Batman Begins;$150,000,000;$205,343,774;$359,142,722
106;5.6.2011;Thor;$150,000,000;$181,030,624;$449,326,618
107;11.7.2008;Madagascar: Escape 2 Africa;$150,000,000;$180,010,950;$599,516,844
108;5.1.2009;X-Men Origins: Wolverine;$150,000,000;$179,883,157;$374,825,760
109;5/22/2009;Night at the Museum: Battle of the Smithsonian;$150,000,000;$177,243,721;$413,054,631
110;5/26/2011;Kung Fu Panda 2;$150,000,000;$165,249,063;$664,837,547
111;5.5.2006;Mission: Impossible III;$150,000,000;$133,501,348;$397,501,348
112;5/15/2009;Angels & Demons;$150,000,000;$133,375,846;$490,875,846
113;5/14/2004;Troy;$150,000,000;$133,298,577;$484,161,265
114;7.1.2010;The Last Airbender;$150,000,000;$131,772,187;$319,713,881
115;11.2.2007;Bee Movie;$150,000,000;$126,631,277;$287,594,577
116;7/24/2009;G-Force;$150,000,000;$119,436,770;$287,389,685
117;11/21/2008;Bolt;$150,000,000;$114,053,759;$328,015,209
118;3/30/2012;Wrath of the Titans;$150,000,000;$83,670,083;$301,970,083
119;11/16/2007;Beowulf;$150,000,000;$82,195,215;$194,995,215
120;5.11.2012;Dark Shadows;$150,000,000;$79,727,149;$236,527,149
121;6/28/2013;White House Down;$150,000,000;$73,103,784;$205,440,387
122;2.12.2010;The Wolfman;$150,000,000;$62,189,884;$142,634,358
123;3.11.2011;Mars Needs Moms;$150,000,000;$21,392,758;$39,549,758
124;6/15/2005;Batman Begins (IMAX);$150,000,000;$15,900,000;$169,698,948
125;11.3.2006;Flushed Away;$149,000,000;$64,665,672;$177,665,672
126;6.8.2012;Madagascar 3: Europe's Most Wanted;$145,000,000;$216,391,482;$746,921,271
127;12/16/2011;Mission: Impossible - Ghost Protocol;$145,000,000;$209,397,903;$694,713,230
128;6/13/2014;How to Train Your Dragon 2;$145,000,000;$176,980,231;$616,080,231
129;6/16/1999;Tarzan;$145,000,000;$171,091,819;$448,191,819
130;3.7.2014;Mr. Peabody & Sherman;$145,000,000;$111,506,430;$269,806,430
131;11/21/2012;Rise of the Guardians;$145,000,000;$103,412,758;$306,900,902
132;4.8.2005;Sahara;$145,000,000;$68,671,925;$121,671,925
133;11/22/2002;Die Another Day;$142,000,000;$160,942,139;$431,942,139
134;5.8.2009;Star Trek;$140,000,000;$257,730,019;$385,680,446
135;7.1.1998;Armageddon;$140,000,000;$201,578,182;$554,600,000
136;7.3.2002;Men in Black 2;$140,000,000;$190,418,803;$441,767,803
137;7/22/2011;Captain America: The First Avenger;$140,000,000;$176,654,505;$370,569,776
138;7.10.1998;Lethal Weapon 4;$140,000,000;$130,444,603;$285,400,000
139;3/27/2013;G.I. Joe: Retaliation;$140,000,000;$122,523,060;$371,923,060
140;12.5.2003;The Last Samurai;$140,000,000;$111,110,575;$456,810,575
141;12/21/2005;Fun With Dick And Jane;$140,000,000;$110,550,000;$201,798,116
142;5.3.2002;Spider-Man;$139,000,000;$403,706,375;$821,565,375
143;3.6.2009;Watchmen;$138,000,000;$107,509,799;$184,068,357
144;7/29/2005;Stealth;$138,000,000;$32,116,746;$76,416,746
145;6/13/2008;The Incredible Hulk;$137,500,000;$134,806,913;$263,417,913
146;6/20/2003;Hulk;$137,000,000;$132,177,234;$245,229,234
147;7.11.2001;Final Fantasy: The Spirits Within;$137,000,000;$32,131,830;$85,131,830
148;11/16/2012;The Twilight Saga: Breaking Dawn, Part 2;$136,200,000;$292,324,737;$832,660,037
149;3/22/2013;The Croods;$135,000,000;$187,168,425;$573,068,425
150;11/19/1999;The World is Not Enough;$135,000,000;$126,930,660;$361,730,660
151;3.4.2011;Rango;$135,000,000;$123,257,581;$245,504,574
152;11/14/2003;Master and Commander: The Far Side of the World;$135,000,000;$93,926,386;$212,912,137
153;7/17/2013;Turbo;$135,000,000;$83,028,130;$283,828,130
154;11/18/2011;Happy Feet Two;$135,000,000;$64,006,466;$157,956,466
155;7/28/2006;Miami Vice;$135,000,000;$63,478,838;$163,818,556
156;6/29/2005;War of the Worlds;$132,000,000;$234,280,354;$606,836,535
157;11/26/2014;Penguins of Madagascar;$132,000,000;$35,438,847;$98,438,847
158;11/22/2013;The Hunger Games: Catching Fire;$130,000,000;$424,668,047;$857,668,047
159;6.4.2004;Harry Potter and the Prisoner of Azkaban;$130,000,000;$249,538,952;$796,688,549
160;8.3.2007;The Bourne Ultimatum;$130,000,000;$227,471,070;$442,161,562
161;6.6.2008;Kung Fu Panda;$130,000,000;$215,434,591;$631,910,531
162;10/28/2011;Puss in Boots;$130,000,000;$149,260,504;$554,987,477
163;11.5.2010;Megamind;$130,000,000;$148,415,853;$321,887,208
164;7/18/2003;Bad Boys II;$130,000,000;$138,540,870;$272,940,870
165;4.11.2014;Rio 2;$130,000,000;$131,538,435;$493,738,435
166;7/23/2010;Salt;$130,000,000;$118,311,368;$295,713,467
167;3/28/2014;Noah;$130,000,000;$101,200,044;$356,200,044
168;12/21/2011;The Adventures of Tintin;$130,000,000;$77,591,831;$373,993,951
169;5/31/2013;After Earth;$130,000,000;$60,522,097;$251,499,665
170;11/26/2008;Australia;$130,000,000;$49,554,002;$215,080,810
171;7/19/2013;R.I.P.D.;$130,000,000;$33,618,855;$79,067,518
172;11/18/2011;The Twilight Saga: Breaking Dawn, Part 1;$127,500,000;$281,287,133;$709,938,657
173;5/19/2000;Dinosaur;$127,500,000;$137,748,063;$356,148,063
174;5/15/2003;The Matrix Reloaded;$127,000,000;$281,553,689;$738,576,929
175;7/15/2011;Harry Potter and the Deathly Hallows: Part II;$125,000,000;$381,011,219;$1,328,111,219
176;11/16/2001;Harry Potter and the Sorcerer's Stone;$125,000,000;$317,575,550;$974,755,371
177;7.9.2003;Pirates of the Caribbean: The Curse of the Black Pearl;$125,000,000;$305,411,224;$634,954,103
178;11/19/2010;Harry Potter and the Deathly Hallows: Part I;$125,000,000;$295,983,305;$956,399,711
179;11/19/2014;The Hunger Games: Mockingjay - Part 1;$125,000,000;$225,680,904;$480,080,904
180;5/19/2006;The Da Vinci Code;$125,000,000;$217,536,138;$767,820,459
181;5.2.2003;X2;$125,000,000;$214,949,694;$407,711,549
182;4/29/2011;Fast Five;$125,000,000;$209,837,675;$629,855,611
183;8.8.2014;Teenage Mutant Ninja Turtles;$125,000,000;$191,204,754;$477,204,754
184;12/16/2011;Sherlock Holmes: A Game of Shadows;$125,000,000;$186,848,418;$535,698,089
185;5/28/2004;The Day After Tomorrow;$125,000,000;$186,740,799;$556,319,450
186;4.1.2010;Clash of the Titans;$125,000,000;$163,214,888;$493,214,888
187;5/19/1998;Godzilla;$125,000,000;$136,314,294;$376,000,000
188;6.8.2012;Prometheus;$125,000,000;$126,477,084;$399,005,706
189;8.10.2012;The Bourne Legacy;$125,000,000;$113,203,870;$280,332,245
190;6/20/1997;Batman & Robin;$125,000,000;$107,325,195;$238,317,814
191;8.3.2012;Total Recall;$125,000,000;$58,877,969;$198,615,996
192;8/27/1999;The 13th Warrior;$125,000,000;$32,698,899;$61,698,899
193;11/20/2015;The Hunger Games: Mockingjay - Part 2;$125,000,000;$0;$0
194;11/17/2000;How the Grinch Stole Christmas;$123,000,000;$260,044,825;$345,141,403
195;5/24/2000;Mission: Impossible 2;$120,000,000;$215,409,889;$546,209,889
196;6/30/2000;The Perfect Storm;$120,000,000;$182,618,434;$328,711,434
197;6/15/2007;Fantastic Four: Rise of the Silver Surfer;$120,000,000;$131,921,738;$288,215,319
198;11/21/2012;Life of Pi;$120,000,000;$124,987,022;$607,987,022
199;2/16/2007;Ghost Rider;$120,000,000;$115,802,596;$237,702,596
200;6/27/2003;Charlie's Angels: Full Throttle;$120,000,000;$100,814,328;$227,200,000
201;8.9.2013;Elysium;$120,000,000;$93,050,117;$286,192,091
202;4/19/2013;Oblivion;$120,000,000;$89,107,235;$287,627,813
203;7/19/2002;Stuart Little 2;$120,000,000;$64,956,806;$166,000,000
204;2.12.2014;RoboCop;$120,000,000;$58,607,007;$242,981,799
205;6.11.2004;The Chronicles of Riddick;$120,000,000;$57,712,751;$107,212,751
206;5.9.2008;Speed Racer;$120,000,000;$43,945,766;$93,394,462
207;7/22/2005;The Island;$120,000,000;$35,818,913;$163,018,913
208;12/17/2010;How Do You Know?;$120,000,000;$30,212,620;$48,668,307
209;6/23/2010;Knight and Day;$117,000,000;$76,423,035;$262,142,047
210;5/19/1999;Star Wars Ep. I: The Phantom Menace;$115,000,000;$474,544,677;$1,007,044,677
211;5/19/2005;Star Wars Ep. III: Revenge of the Sith;$115,000,000;$380,270,577;$848,998,877
212;5/16/2002;Star Wars Ep. II: Attack of the Clones;$115,000,000;$310,676,740;$656,695,615
213;11.2.2001;Monsters, Inc.;$115,000,000;$289,423,425;$559,757,719
214;7/26/2013;The Wolverine;$115,000,000;$132,556,852;$416,456,852
215;2.7.1997;Dante's Peak;$115,000,000;$67,163,857;$178,200,000
216;6/14/2002;Windtalkers;$115,000,000;$40,914,068;$77,628,265
217;7.4.2008;Astérix aux Jeux Olympiques;$113,500,000;$999,811;$132,999,811
218;12/25/2010;Gulliver's Travels;$112,000,000;$42,779,261;$239,179,261
219;10.4.2013;Gravity;$110,000,000;$274,092,705;$716,392,705
220;12/22/2006;Night at the Museum;$110,000,000;$250,863,268;$574,480,841
221;6.10.2005;Mr. And Mrs. Smith;$110,000,000;$186,336,279;$478,336,279
222;7/29/2011;The Smurfs;$110,000,000;$142,614,158;$563,066,551
223;11.5.2003;The Matrix Revolutions;$110,000,000;$139,259,759;$424,259,759
224;6/27/2007;Live Free or Die Hard;$110,000,000;$134,529,403;$383,531,464
225;12.10.2004;Ocean's Twelve;$110,000,000;$125,531,634;$362,989,076
226;12/19/1997;Tomorrow Never Dies;$110,000,000;$125,304,276;$339,504,276
227;6/28/2000;The Patriot;$110,000,000;$113,330,342;$215,300,000
228;3.7.2014;300: Rise of an Empire;$110,000,000;$106,580,051;$330,780,051
229;12/17/2004;The Aviator;$110,000,000;$102,610,330;$208,372,395
230;1/14/2011;The Green Hornet;$110,000,000;$98,780,042;$227,983,150
231;5.6.2005;Kingdom of Heaven;$110,000,000;$94,690,422;$266,145,362
232;10.7.2011;Real Steel;$110,000,000;$85,463,309;$293,237,309
233;6.11.2010;The A-Team;$110,000,000;$77,222,099;$177,241,171
234;7/31/2013;The Smurfs 2;$110,000,000;$71,017,784;$348,547,523
235;6.12.2009;The Taking of Pelham 123;$110,000,000;$65,452,312;$152,364,370
236;11.1.2013;Ender's Game;$110,000,000;$61,737,191;$89,737,191
237;4.2.2004;Home on the Range;$110,000,000;$50,026,353;$76,482,461
238;6/13/1997;Speed II: Cruise Control;$110,000,000;$48,097,081;$150,468,000
239;6/16/2004;Around the World in 80 Days;$110,000,000;$24,004,159;$72,004,159
240;12/19/2001;The Lord of the Rings: The Fellowship of the Ring;$109,000,000;$315,544,750;$887,217,688
241;11/21/2003;The Cat in the Hat;$109,000,000;$101,018,283;$133,818,283
242;12/25/2001;Ali;$109,000,000;$58,183,966;$87,683,966
243;7/16/2004;I, Robot;$105,000,000;$144,801,023;$348,601,023
244;12/17/1999;Stuart Little;$105,000,000;$140,015,224;$298,800,000
245;11/25/2009;The Princess and the Frog;$105,000,000;$104,400,899;$270,997,378
246;3.7.2008;10,000 B.C.;$105,000,000;$94,784,201;$269,065,678
247;4/27/2001;Town & Country;$105,000,000;$6,712,451;$10,364,769
248;6.9.2000;Gone in 60 Seconds;$103,300,000;$101,643,008;$232,643,008
249;5.5.2000;Gladiator;$103,000,000;$187,683,805;$457,683,805
250;5/23/2013;The Hangover 3;$103,000,000;$112,200,072;$362,000,072
251;7.1.2009;Public Enemies;$102,500,000;$97,104,620;$210,379,983
252;11/17/2006;Casino Royale;$102,000,000;$167,365,000;$594,420,283
253;6/21/2002;Minority Report;$102,000,000;$132,024,714;$358,824,714
254;10/26/2012;Cloud Atlas;$102,000,000;$27,108,272;$130,673,154
255;11/15/2002;Harry Potter and the Chamber of Secrets;$100,000,000;$261,987,880;$878,979,634
256;7.2.1991;Terminator 2: Judgment Day;$100,000,000;$204,859,496;$516,816,151
257;6/16/1995;Batman Forever;$100,000,000;$184,031,112;$336,529,144
258;7/27/2001;Planet of the Apes;$100,000,000;$180,011,740;$362,211,740
259;11/19/2004;National Treasure;$100,000,000;$173,005,002;$347,405,002
260;12/25/2012;Django Unchained;$100,000,000;$162,805,434;$425,373,688
261;12/22/2010;Little Fockers;$100,000,000;$148,438,600;$310,650,574
262;7/15/1994;True Lies;$100,000,000;$146,282,411;$365,300,000
263;11.2.2007;American Gangster;$100,000,000;$130,164,645;$267,985,456
264;9/18/2009;Cloudy with a Chance of Meatballs;$100,000,000;$124,870,275;$236,827,677
265;8.6.2010;The Other Guys;$100,000,000;$119,219,978;$170,936,470
266;12/17/2004;Lemony Snicket's A Series of Unfortunate Events;$100,000,000;$118,627,117;$201,627,117
267;12/25/2013;The Wolf of Wall Street;$100,000,000;$116,900,694;$391,976,723
268;5/24/2013;Epic;$100,000,000;$107,518,682;$268,418,682
269;6/21/1996;Eraser;$100,000,000;$101,295,562;$234,400,000
270;6/21/1996;The Hunchback of Notre Dame;$100,000,000;$100,138,851;$325,500,000
271;12/15/2000;The Emperor's New Groove;$100,000,000;$89,296,573;$169,296,573
272;8/17/2012;The Expendables 2;$100,000,000;$85,028,192;$311,979,256
273;10/16/2009;Where the Wild Things Are;$100,000,000;$77,233,467;$99,123,656
274;12/15/2006;Eragon;$100,000,000;$75,030,163;$249,488,115
275;7/25/2014;Hercules;$100,000,000;$72,688,614;$243,388,614
276;12.10.2010;The Tourist;$100,000,000;$67,631,157;$278,731,369
277;11/24/1999;End of Days;$100,000,000;$66,889,043;$212,026,975
278;6.11.2004;The Stepford Wives;$100,000,000;$59,475,623;$96,221,971
279;6.8.2007;Surf's Up;$100,000,000;$58,867,694;$145,395,745
280;12.8.2006;Blood Diamond;$100,000,000;$57,377,916;$171,377,916
281;9/24/2010;Legend of the Guardians: The Owls of Ga'Hoole 3D;$100,000,000;$55,675,313;$139,906,561
282;11.7.1997;Starship Troopers;$100,000,000;$54,768,952;$121,100,000
283;6.5.2009;Land of the Lost;$100,000,000;$49,438,370;$69,548,641
284;12/25/2003;Peter Pan;$100,000,000;$48,417,850;$95,255,485
285;7/23/2004;Catwoman;$100,000,000;$40,202,379;$82,145,379
286;8/15/2014;The Expendables 3;$100,000,000;$39,322,544;$195,322,544
287;11/27/2002;Treasure Planet;$100,000,000;$38,120,554;$91,800,000
288;3.12.2010;Green Zone;$100,000,000;$35,497,337;$97,523,020
289;4/18/2014;Transcendence;$100,000,000;$23,022,309;$90,022,309
290;2/18/2005;Son of the Mask;$100,000,000;$17,018,422;$59,918,422
291;4.3.1998;The Spanish Prisoner;$100,000,000;$10,162,034;$13,835,130
292;8/16/2002;The Adventures of Pluto Nash;$100,000,000;$4,411,102;$7,094,995
293;12/21/2011;Jin líng shí san chai;$100,000,000;$311,434;$93,721,434
294;5.4.2001;The Mummy Returns;$98,000,000;$202,007,640;$435,040,395
295;12/20/2002;Gangs of New York;$97,000,000;$77,730,500;$190,400,000
296;7/13/2012;Ice Age: Continental Drift;$95,000,000;$161,321,843;$879,765,137
297;12/28/2001;Black Hawk Down;$95,000,000;$108,638,745;$159,691,085
298;5/27/2010;Sex and the City 2;$95,000,000;$95,347,692;$294,680,778
299;2.12.2010;Percy Jackson & the Olympians: The Lightning Thief;$95,000,000;$88,768,303;$226,467,130
300;11.12.2010;Unstoppable;$95,000,000;$81,562,942;$169,511,609
301;5.9.1997;The Fifth Element;$95,000,000;$63,570,862;$263,900,000
302;3/31/2000;The Road to El Dorado;$95,000,000;$50,802,661;$65,700,000
303;12.11.2009;The Lovely Bones;$95,000,000;$44,114,232;$94,894,448
304;5/30/2003;Finding Nemo;$94,000,000;$380,529,370;$906,465,556
305;12/17/2003;The Lord of the Rings: The Return of the King;$94,000,000;$377,845,905;$1,141,408,667
306;12/18/2002;The Lord of the Rings: The Two Towers;$94,000,000;$342,548,984;$927,048,984
307;6/15/2001;Lara Croft: Tomb Raider;$94,000,000;$131,144,183;$274,644,183
308;7/18/2001;Jurassic Park III;$93,000,000;$181,166,115;$365,900,000
309;8.5.2011;Rise of the Planet of the Apes;$93,000,000;$176,760,185;$482,860,185
310;2/14/2008;The Spiderwick Chronicles;$92,500,000;$71,195,053;$162,839,667
311;11.5.2004;The Incredibles;$92,000,000;$261,441,092;$632,107,545
312;2/14/2013;A Good Day to Die Hard;$92,000,000;$67,349,198;$304,249,198
313;4.9.2004;The Alamo;$92,000,000;$22,406,362;$23,911,362
314;12/22/1995;Cutthroat Island;$92,000,000;$10,017,322;$18,517,322
315;12/25/2013;The Secret Life of Walter Mitty;$91,000,000;$58,236,838;$188,536,838
316;7.1.1997;Men in Black;$90,000,000;$250,690,539;$587,790,539
317;11/19/1999;Toy Story 2;$90,000,000;$245,852,179;$511,358,276
318;8.3.2001;Rush Hour 2;$90,000,000;$226,164,286;$347,425,832
319;12/25/2009;Sherlock Holmes;$90,000,000;$209,028,679;$498,438,212
320;7.1.2009;Ice Age: Dawn of the Dinosaurs;$90,000,000;$196,573,705;$886,968,695
321;7/21/2000;What Lies Beneath;$90,000,000;$155,464,351;$288,693,989
322;4/15/2011;Rio;$90,000,000;$143,619,809;$487,519,809
323;10.6.2006;The Departed;$90,000,000;$133,311,000;$290,539,042
324;11.3.2000;Charlie's Angels;$90,000,000;$125,305,545;$259,736,090
325;6/19/1998;Mulan;$90,000,000;$120,620,254;$303,500,000
326;8/13/2008;Tropic Thunder;$90,000,000;$110,461,307;$188,163,455
327;12/20/2011;The Girl with the Dragon Tattoo;$90,000,000;$102,515,793;$233,170,238
328;7.11.1997;Contact;$90,000,000;$100,920,329;$165,900,000
329;6.6.2008;You Don't Mess With the Zohan;$90,000,000;$100,018,837;$201,802,891
330;5/19/1995;Die Hard: With a Vengeance;$90,000,000;$100,012,499;$364,480,746
331;6.8.2001;Atlantis: The Lost Empire;$90,000,000;$84,052,762;$186,049,020
332;12/25/2008;Valkyrie;$90,000,000;$83,077,762;$203,902,107
333;6/29/2001;Artificial Intelligence: AI;$90,000,000;$78,616,689;$235,900,000
334;8.4.2000;Hollow Man;$90,000,000;$73,209,340;$191,200,000
335;4/22/2005;The Interpreter;$90,000,000;$72,708,161;$163,954,076
336;8.7.2013;Percy Jackson: Sea of Monsters;$90,000,000;$68,559,554;$200,859,554
337;7/25/2003;Lara Croft: Tomb Raider: The Cradle of Life;$90,000,000;$65,653,758;$156,453,758
338;11/21/2001;Spy Game;$90,000,000;$62,362,560;$143,049,560
339;4.4.1997;The Saint;$90,000,000;$61,363,304;$169,400,000
340;3.10.2000;Mission to Mars;$90,000,000;$60,874,615;$106,000,000
341;12/17/1999;Bicentennial Man;$90,000,000;$58,220,776;$87,420,776
342;7.7.2004;King Arthur;$90,000,000;$51,877,963;$203,877,963
343;4/25/1997;Volcano;$90,000,000;$47,546,796;$120,100,000
344;3/26/1997;The Devil's Own;$90,000,000;$42,885,593;$140,900,000
345;7/19/2002;K-19: The Widowmaker;$90,000,000;$35,168,966;$65,716,126
346;8/19/2011;Conan the Barbarian 3D;$90,000,000;$21,295,021;$63,356,133
